amount,time,is_fraud
93.85,9.45,0
602.02,11.36,0
263.35,20.51,0
182.59,8.16,0
33.92,20.87,0
33.92,2.12,0
11.97,18.64,0
402.25,20.34,0
183.82,4.36,0
246.25,10.33,0
4.16,3.97,0
700.71,16.96,0
357.29,12.85,0
47.74,15.25,0
40.14,4.72,0
40.52,5.08,0
72.55,1.0,0
148.79,7.73,0
113.11,13.43,0
68.84,20.59,0
189.27,16.01,0
30.05,10.45,0
69.1,22.87,0
91.26,17.26,0
121.79,22.32,0
307.59,12.66,0
44.55,6.21,0
144.41,1.27,0
179.5,17.43,0
9.51,2.91,0
187.07,7.27,0
37.39,12.78,0
13.45,13.55,0
594.74,14.41,0
674.13,3.99,1
330.47,9.11,0
72.66,14.81,0
20.56,23.28,0
230.55,17.46,0
116.02,22.14,0
26.03,18.29,0
136.71,14.2,0
7.0,4.61,0
480.08,16.0,0
59.89,14.96,0
217.25,14.46,0
74.71,11.75,0
146.82,12.69,0
158.24,8.03,0
40.88,12.46,0
698.56,4.74,1
298.45,19.32,0
561.02,4.46,1
450.43,2.04,1
182.21,10.47,0
509.89,15.8,0
18.53,10.51,0
43.63,6.64,0
9.26,13.4,0
78.71,8.33,0
98.43,22.39,0
63.31,22.14,0
352.91,12.06,0
88.25,7.87,0
65.96,17.69,0
156.48,0.88,0
30.38,11.39,0
324.1,8.07,0
15.5,22.09,0
866.83,0.29,1
295.9,13.27,0
44.31,17.78,0
1.11,11.64,0
337.98,2.05,0
245.42,23.34,0
261.13,12.43,0
295.04,14.74,0
15.39,5.68,0
88.78,11.6,0
24.63,10.3,0
397.71,1.8,0
195.26,2.55,0
80.36,20.1,0
13.13,5.76,0
74.5,4.68,0
78.66,12.12,0
261.58,18.45,0
202.98,1.49,0
436.45,13.84,0
127.81,2.86,0
25.47,0.88,0
249.83,1.27,0
286.08,20.02,0
164.78,2.83,0
294.78,1.08,0
136.16,10.51,0
147.94,20.26,0
111.56,6.3,0
5.15,10.12,0
22.83,0.96,0
6.39,10.78,0
202.35,13.86,0
75.48,13.7,0
142.09,7.98,0
476.25,7.57,0
57.35,2.56,0
105.66,8.8,0
281.75,2.39,0
51.96,18.4,0
16.02,23.19,0
68.43,23.28,0
35.16,20.76,0
530.99,14.42,0
330.18,16.82,0
200.7,6.84,0
410.3,15.14,0
325.59,10.94,0
41.3,11.57,0
446.16,18.19,0
155.02,6.77,0
329.47,7.63,0
452.85,22.19,0
76.55,1.35,0
23.32,11.66,0
51.74,21.91,0
111.41,14.65,0
340.77,13.11,0
394.27,5.99,0
1.4,8.24,0
142.98,20.45,0
108.05,13.42,0
50.23,12.35,0
25.54,2.39,0
82.38,0.38,0
572.62,23.13,0
78.08,9.05,0
146.29,14.48,0
242.82,1.91,0
90.39,16.39,0
713.56,22.38,0
656.4,13.82,0
58.01,3.03,0
137.53,13.96,0
71.59,18.39,0
67.05,9.75,0
7.52,21.12,0
188.1,15.57,0
139.7,21.58,0
10.57,14.96,0
65.33,3.15,0
477.77,7.43,0
54.77,4.84,0
31.31,21.81,0
134.45,18.25,0
848.81,16.23,0
55.43,7.22,0
223.03,4.42,0
286.78,18.15,0
54.27,11.38,0
260.55,5.42,0
91.7,14.8,0
200.1,0.97,0
200.77,7.83,0
153.48,11.25,0
18.93,3.55,0
360.73,23.63,0
77.36,5.02,0
41.29,3.13,0
8.33,4.88,0
178.76,18.46,0
226.37,10.21,0
3.35,13.57,0
143.53,0.5,0
51.36,0.83,0
207.22,10.7,0
38.32,19.6,0
234.84,21.25,0
97.79,2.08,0
552.07,12.92,0
29.59,21.92,0
83.43,9.31,0
24.09,19.91,0
517.24,3.21,1
419.67,22.45,0
59.67,18.03,0
215.75,22.59,0
339.9,16.24,0
162.03,8.72,0
150.86,22.52,0
55.38,6.61,0
19.55,7.97,0
455.02,16.82,0
461.35,18.37,0
200.53,22.31,0
82.81,4.92,0
85.91,19.15,0
258.89,17.73,0
454.82,1.53,1
436.23,9.29,0
302.71,6.79,0
205.46,7.31,0
17.58,23.59,0
35.26,15.43,0
457.65,17.22,0
186.5,23.44,0
1.85,9.05,0
21.4,19.24,0
217.83,10.43,0
1.01,20.87,0
35.06,4.34,0
159.14,22.74,0
235.46,5.25,0
211.09,7.83,0
50.79,18.15,0
249.08,9.45,0
54.16,14.6,0
78.73,10.67,0
274.47,17.82,0
209.75,5.48,0
378.39,1.4,0
214.36,7.2,0
168.01,11.38,0
19.67,4.03,0
91.68,8.52,0
61.63,9.6,0
55.94,1.38,0
722.46,14.0,0
99.88,21.22,0
445.21,3.64,1
199.47,14.35,0
316.77,15.95,0
139.69,10.06,0
172.03,16.83,0
135.66,9.86,0
43.44,12.11,0
256.35,0.18,0
65.92,16.6,0
4.92,15.87,0
207.39,0.92,0
38.99,8.84,0
564.22,23.5,0
615.51,10.1,0
492.7,12.05,0
92.46,21.84,0
3.12,17.21,0
527.1,13.97,0
111.79,19.15,0
680.17,20.74,0
662.75,10.97,0
383.48,11.4,0
69.76,9.27,0
97.26,23.2,0
380.95,16.73,0
76.23,2.0,0
37.14,20.71,0
162.75,11.53,0
550.26,1.65,1
238.17,13.19,0
168.82,10.01,0
20.45,21.07,0
190.91,4.9,0
922.11,19.84,0
30.18,13.38,0
146.1,1.31,0
419.72,23.32,0
270.01,12.3,0
238.81,6.98,0
242.46,11.27,0
89.1,20.59,0
69.51,7.32,0
331.47,4.62,0
332.27,3.1,0
403.59,7.15,0
488.92,18.72,0
143.22,11.32,0
139.24,5.46,0
320.19,3.99,0
209.94,7.99,0
242.11,22.56,0
317.72,8.23,0
441.46,23.71,0
82.5,11.65,0
94.19,4.3,0
19.74,21.39,0
172.68,11.05,0
7.32,17.03,0
125.32,23.61,0
156.46,1.2,0
67.53,2.32,0
178.73,17.29,0
6.2,6.76,0
7.61,4.42,0
345.87,0.94,0
89.32,0.52,0
27.18,18.59,0
147.73,3.23,0
293.93,11.23,0
48.62,14.54,0
195.04,10.28,0
17.84,0.65,0
10.61,18.8,0
151.58,0.25,0
155.58,18.29,0
202.91,21.44,0
258.99,10.39,0
744.71,12.85,0
145.26,11.45,0
78.0,9.34,0
317.13,21.3,0
63.17,21.45,0
115.6,8.06,0
16.34,14.76,0
5.14,22.25,0
657.48,23.09,0
361.55,12.22,0
238.13,10.87,0
105.17,6.69,0
38.06,23.01,0
34.02,3.43,0
57.6,13.92,0
159.36,6.78,0
250.77,6.7,0
215.88,9.72,0
65.68,23.97,0
619.62,1.32,1
267.8,13.89,0
161.65,1.98,0
189.21,3.71,0
108.81,10.55,0
56.93,12.25,0
88.0,6.21,0
283.64,7.59,0
2.9,2.09,0
24.68,7.28,0
9.42,23.2,0
8.32,22.67,0
386.84,8.04,0
243.25,13.7,0
128.56,21.83,0
20.59,0.15,0
135.3,19.46,0
128.29,22.76,0
38.04,2.19,0
113.78,3.87,0
101.67,23.06,0
191.34,12.9,0
201.62,0.34,0
9.27,6.18,0
93.88,10.8,0
196.62,16.63,0
139.89,17.6,0
388.27,23.89,0
214.99,6.9,0
35.57,12.92,0
14.64,12.8,0
205.68,9.74,0
5.37,4.06,0
176.27,23.46,0
563.45,20.48,0
171.36,11.96,0
98.26,14.48,0
206.17,5.45,0
122.59,13.05,0
157.76,16.68,0
567.63,12.36,0
97.59,23.77,0
649.82,14.67,0
471.52,8.9,0
43.58,18.53,0
14.38,4.09,0
21.25,9.23,0
3.68,8.33,0
19.84,10.36,0
229.77,18.76,0
14.77,11.62,0
76.83,19.06,0
372.71,13.84,0
4.71,8.21,0
336.91,19.44,0
66.22,5.72,0
25.15,5.39,0
238.63,12.11,0
198.28,6.26,0
419.88,0.22,1
265.66,15.56,0
325.4,12.27,0
66.27,10.69,0
39.07,23.21,0
277.75,13.71,0
328.84,20.72,0
931.4,3.35,1
106.42,13.66,0
93.05,20.83,0
299.59,13.99,0
83.35,17.23,0
534.03,8.93,0
390.97,2.22,0
112.07,10.99,0
277.96,9.47,0
280.93,20.81,0
21.77,5.86,0
465.69,23.2,0
140.74,23.0,0
350.27,5.94,0
77.15,8.35,0
451.76,21.49,0
98.6,23.2,0
2.18,10.64,0
471.58,7.7,0
19.15,12.63,0
76.93,16.51,0
599.39,6.56,0
601.59,17.68,0
170.4,1.24,0
199.85,1.18,0
119.0,9.27,0
69.4,8.48,0
79.7,7.58,0
223.26,11.78,0
279.17,7.7,0
313.64,4.61,0
311.77,7.43,0
19.13,23.4,0
136.41,9.87,0
11.86,10.67,0
159.49,13.84,0
116.51,23.6,0
437.32,5.8,1
86.44,16.35,0
24.9,17.18,0
30.86,14.58,0
286.69,2.13,0
192.58,16.24,0
21.32,1.54,0
17.57,14.31,0
241.44,17.75,0
15.11,5.06,0
345.04,20.2,0
245.0,0.73,0
16.97,20.25,0
17.73,11.05,0
863.09,5.22,1
93.77,3.21,0
92.61,22.88,0
335.12,1.74,0
588.43,4.78,1
853.75,8.35,0
279.98,14.89,0
94.4,13.08,0
17.44,3.02,0
300.25,6.95,0
163.47,5.73,0
110.41,5.13,0
473.65,9.87,0
23.58,16.9,0
135.7,5.22,0
2.28,8.8,0
126.47,9.38,0
11.59,23.43,0
25.3,22.91,0
25.01,19.2,0
209.51,5.8,0
274.12,1.63,0
175.11,7.61,0
654.94,6.4,0
93.96,12.14,0
67.29,18.67,0
405.9,20.6,0
50.62,20.28,0
660.57,8.63,0
2.45,16.49,0
700.51,7.51,0
8.82,1.46,0
443.54,16.84,0
150.03,0.24,0
991.37,9.82,0
15.33,7.91,0
161.42,16.64,0
696.72,18.39,0
148.09,7.3,0
198.53,19.48,0
237.98,7.05,0
121.23,10.71,0
197.53,17.45,0
175.57,16.63,0
462.85,23.7,0
9.3,5.4,0
65.97,15.9,0
600.8,14.63,0
441.94,21.96,0
121.64,3.75,0
193.59,18.04,0
64.97,13.64,0
41.68,6.59,0
124.61,11.39,0
87.19,8.01,0
175.25,13.9,0
16.18,21.34,0
732.99,13.66,0
856.77,15.16,0
239.57,12.45,0
153.62,1.23,0
74.08,5.59,0
336.18,11.81,0
230.87,7.45,0
35.49,4.36,0
483.66,12.1,0
345.8,7.75,0
598.35,6.19,0
258.72,11.14,0
190.08,3.2,0
108.34,22.27,0
539.8,20.82,0
402.08,16.98,0
9.25,2.55,0
5.34,18.62,0
94.47,19.39,0
332.73,18.43,0
872.86,2.74,1
32.6,15.45,0
180.34,20.02,0
95.89,13.86,0
700.74,15.51,0
369.18,11.0,0
364.44,12.69,0
126.48,0.83,0
107.17,15.34,0
63.88,1.95,0
11.61,10.44,0
400.09,7.02,0
335.22,13.09,0
1634.49,3.2,1
1138.97,16.6,0
162.13,19.08,0
293.06,3.92,0
579.23,2.5,1
378.95,3.49,0
56.83,21.05,0
119.77,12.68,0
27.66,11.21,0
616.04,2.56,1
186.37,15.59,0
51.92,20.83,0
222.77,19.88,0
192.53,15.03,0
88.68,1.81,0
24.11,2.7,0
222.69,1.18,0
146.92,6.18,0
295.96,3.26,0
146.86,6.24,0
382.35,9.24,0
160.55,22.63,0
164.62,14.65,0
418.55,20.04,0
103.33,17.05,0
28.78,2.7,0
5.84,17.66,0
281.41,6.6,0
193.68,15.34,0
243.53,8.18,0
47.9,23.94,0
29.32,6.33,0
2.93,6.7,0
86.34,22.34,0
178.28,0.59,0
99.6,16.72,0
115.06,17.41,0
469.01,20.07,0
85.62,23.39,0
144.31,23.41,0
306.17,1.57,0
101.02,19.72,0
194.62,15.51,0
396.63,15.54,0
597.24,3.08,1
31.82,15.6,0
522.33,23.58,0
135.5,21.88,0
59.75,10.54,0
122.92,0.96,0
782.73,8.7,0
135.7,19.83,0
79.72,16.84,0
200.7,11.02,0
54.93,1.32,0
15.78,10.25,0
27.6,11.26,0
27.4,22.29,0
32.95,15.39,0
29.89,7.48,0
204.82,12.61,0
40.15,1.59,0
84.83,23.34,0
454.19,8.64,0
128.48,11.47,0
220.26,8.53,0
37.83,16.38,0
42.71,15.89,0
8.35,17.17,0
37.01,6.44,0
65.31,7.58,0
38.96,3.01,0
18.58,15.73,0
25.71,0.96,0
123.53,14.34,0
46.22,20.87,0
90.6,21.38,0
140.0,10.78,0
234.49,11.02,0
8.02,1.85,0
321.3,16.1,0
197.72,19.71,0
17.06,5.87,0
413.63,10.11,0
507.34,20.13,0
12.6,21.05,0
64.84,5.84,0
328.19,13.21,0
275.87,4.62,0
40.8,2.45,0
46.98,21.87,0
92.56,19.69,0
132.53,18.24,0
192.6,1.17,0
92.06,20.25,0
124.18,10.51,0
275.25,8.22,0
7.47,13.12,0
58.19,2.19,0
249.9,18.16,0
451.15,13.98,0
143.36,4.48,0
151.91,4.52,0
22.67,4.42,0
118.63,1.37,0
152.12,14.11,0
55.54,20.17,0
62.73,0.42,0
94.73,1.18,0
4.06,13.75,0
77.74,19.67,0
47.51,7.84,0
79.35,8.39,0
25.51,14.31,0
442.42,6.58,0
180.08,0.64,0
227.33,17.65,0
311.34,15.02,0
138.01,13.94,0
18.19,17.8,0
154.05,16.21,0
176.78,4.94,0
273.64,8.46,0
113.01,3.03,0
27.3,3.12,0
66.75,16.23,0
90.22,20.61,0
207.64,23.11,0
169.16,15.08,0
88.04,4.42,0
861.24,2.54,1
186.17,19.51,0
54.16,13.89,0
21.47,14.84,0
33.18,18.76,0
56.46,16.88,0
35.03,20.03,0
41.3,1.35,0
67.12,17.94,0
38.08,20.42,0
454.15,6.87,0
16.73,15.37,0
148.68,7.54,0
105.66,22.99,0
807.73,0.8,1
23.77,13.92,0
101.45,4.0,0
697.81,17.09,0
401.25,4.22,1
339.73,5.65,0
59.66,11.86,0
37.48,21.96,0
220.91,5.08,0
530.08,3.46,1
162.73,18.22,0
169.55,12.01,0
65.7,21.88,0
293.49,3.52,0
41.42,15.5,0
78.22,5.59,0
110.83,3.76,0
141.7,16.4,0
55.52,14.25,0
24.4,18.12,0
188.64,7.43,0
68.11,10.75,0
174.09,9.73,0
33.53,23.62,0
131.22,7.01,0
152.11,7.08,0
10.64,8.51,0
82.08,13.55,0
28.87,6.06,0
13.09,21.97,0
920.24,6.38,0
77.83,21.5,0
332.01,2.48,0
58.78,15.76,0
228.83,21.77,0
285.61,4.05,0
181.09,23.24,0
127.57,10.87,0
106.15,22.7,0
85.81,16.24,0
530.51,7.24,0
355.12,4.52,0
670.64,7.29,0
26.55,2.23,0
262.51,3.45,0
557.23,2.51,1
39.99,10.15,0
13.76,19.09,0
270.28,3.39,0
170.89,3.13,0
368.82,15.44,0
30.11,4.73,0
317.21,2.34,0
45.04,4.0,0
35.74,22.17,0
35.89,19.72,0
337.02,8.5,0
218.84,15.74,0
148.08,12.89,0
88.89,16.25,0
419.44,16.38,0
99.66,15.09,0
339.22,6.39,0
115.65,0.94,0
94.62,10.93,0
124.23,21.38,0
71.73,13.67,0
275.36,19.98,0
139.72,23.8,0
52.85,3.93,0
459.67,16.6,0
96.87,16.18,0
156.86,23.52,0
473.9,23.65,0
195.76,16.48,0
24.86,5.85,0
562.12,19.17,0
197.62,2.57,0
81.57,18.74,0
30.0,21.84,0
316.0,9.19,0
193.56,15.14,0
152.48,10.32,0
448.66,10.51,0
310.8,7.45,0
32.9,18.29,0
74.71,22.47,0
57.13,22.58,0
272.47,4.19,0
6.82,20.99,0
168.74,17.7,0
287.48,6.07,0
418.73,1.61,1
83.73,6.43,0
344.36,21.89,0
23.45,15.2,0
374.75,17.31,0
27.28,6.17,0
101.26,17.27,0
319.2,0.67,0
32.48,9.01,0
52.08,15.04,0
256.21,3.51,0
254.62,19.75,0
204.97,5.64,0
236.8,15.65,0
156.49,9.72,0
58.02,14.31,0
84.84,2.58,0
40.08,0.41,0
478.18,21.83,0
175.12,6.47,0
102.45,19.67,0
123.98,23.98,0
588.56,5.07,1
33.29,6.36,0
176.49,15.91,0
141.0,23.17,0
189.07,21.98,0
3.66,12.07,0
411.34,19.08,0
538.0,3.26,1
166.54,23.46,0
238.57,23.14,0
511.49,3.93,1
245.68,7.19,0
33.1,2.4,0
171.74,6.52,0
186.64,19.58,0
110.37,9.08,0
266.7,2.12,0
544.74,8.21,0
519.58,23.55,0
119.87,15.11,0
24.04,9.99,0
837.83,4.0,1
365.14,23.67,0
26.63,19.7,0
507.26,6.76,0
407.88,1.68,1
146.31,1.36,0
178.94,2.89,0
101.83,13.94,0
11.26,22.29,0
81.65,11.92,0
324.76,20.23,0
0.93,10.7,0
81.14,17.01,0
101.56,17.56,0
154.18,4.18,0
504.79,8.67,0
85.04,15.3,0
85.22,1.7,0
267.5,8.68,0
120.38,12.84,0
50.88,23.91,0
120.46,11.39,0
30.36,19.59,0
38.81,10.37,0
137.98,19.11,0
108.58,14.29,0
492.66,21.28,0
90.01,9.86,0
173.78,14.5,0
200.08,15.12,0
2.64,10.02,0
217.85,3.46,0
39.21,2.25,0
649.2,0.4,1
32.19,20.96,0
107.1,5.68,0
17.84,5.08,0
1153.62,17.66,0
139.51,7.68,0
180.96,12.15,0
13.89,3.9,0
277.23,23.03,0
47.12,20.44,0
456.66,20.73,0
45.92,9.76,0
42.31,18.3,0
7.45,3.45,0
127.76,0.21,0
166.41,0.48,0
13.59,14.08,0
298.8,10.93,0
120.77,12.43,0
148.63,0.18,0
116.24,10.14,0
102.42,17.23,0
164.03,10.62,0
33.74,17.57,0
40.16,5.59,0
395.79,19.52,0
584.18,14.12,0
93.46,5.06,0
