amount,time,is_fraud
93.85,4.44,0
602.02,13.01,0
263.35,20.95,0
182.59,17.57,0
33.92,19.36,0
33.92,15.81,0
11.97,16.61,0
402.25,20.38,0
183.82,5.99,0
246.25,11.75,0
4.16,5.31,0
700.71,23.7,0
357.29,22.66,0
47.74,0.95,0
40.14,16.93,0
40.52,22.21,0
72.55,4.33,0
148.79,13.63,0
113.11,21.97,0
68.84,0.81,0
189.27,16.74,0
30.05,7.14,0
69.1,22.19,0
91.26,23.31,0
121.79,22.66,0
307.59,11.38,0
44.55,20.69,0
144.41,20.27,0
179.5,7.66,0
9.51,19.89,0
187.07,0.89,0
37.39,14.31,0
13.45,5.52,0
594.74,2.89,1
674.13,1.85,1
330.47,16.71,0
72.66,8.16,0
20.56,17.39,0
230.55,1.57,0
116.02,7.57,0
26.03,12.95,0
136.71,18.98,0
7.0,7.65,0
480.08,15.02,0
59.89,21.26,0
217.25,14.78,0
74.71,5.59,0
146.82,0.59,0
158.24,20.88,0
40.88,0.51,0
698.56,20.99,0
298.45,12.69,0
561.02,22.54,0
450.43,19.17,0
182.21,23.95,0
509.89,8.42,0
18.53,18.41,0
43.63,9.65,0
9.26,11.52,0
78.71,15.06,0
98.43,20.97,0
63.31,23.62,0
352.91,18.44,0
88.25,10.03,0
65.96,10.11,0
156.48,17.7,0
30.38,5.73,0
324.1,2.65,0
15.5,8.51,0
866.83,6.89,0
295.9,7.11,0
44.31,5.61,0
1.11,1.01,0
337.98,0.43,0
245.42,23.71,0
261.13,10.27,0
295.04,9.22,0
15.39,16.31,0
88.78,5.24,0
24.63,22.8,0
397.71,18.87,0
195.26,2.15,0
80.36,10.02,0
13.13,21.1,0
74.5,22.67,0
78.66,11.22,0
261.58,14.72,0
202.98,4.01,0
436.45,23.79,0
127.81,5.56,0
25.47,22.63,0
249.83,15.59,0
286.08,14.59,0
164.78,12.3,0
294.78,5.54,0
136.16,4.24,0
147.94,5.29,0
111.56,4.47,0
5.15,18.71,0
22.83,8.4,0
6.39,1.39,0
202.35,23.26,0
75.48,21.21,0
142.09,22.27,0
476.25,23.88,0
57.35,4.17,0
105.66,9.51,0
281.75,18.2,0
51.96,16.7,0
16.02,3.69,0
68.43,19.58,0
35.16,5.39,0
530.99,5.37,0
330.18,12.89,0
200.7,14.23,0
410.3,13.92,0
325.59,2.2,0
41.3,21.06,0
446.16,6.37,0
155.02,3.11,0
329.47,21.33,0
452.85,22.94,0
76.55,20.69,0
23.32,19.43,0
51.74,15.73,0
111.41,13.22,0
340.77,2.09,0
394.27,9.8,0
1.4,8.94,0
142.98,6.23,0
108.05,17.36,0
50.23,11.9,0
25.54,1.95,0
82.38,5.28,0
572.62,16.4,0
78.08,1.83,0
146.29,20.43,0
242.82,11.88,0
90.39,11.53,0
713.56,14.22,0
656.4,19.79,0
58.01,8.35,0
137.53,16.27,0
71.59,13.58,0
67.05,6.41,0
7.52,21.09,0
188.1,19.14,0
139.7,15.8,0
10.57,20.41,0
65.33,20.82,0
477.77,17.0,0
54.77,20.09,0
31.31,16.74,0
134.45,16.32,0
848.81,14.85,0
55.43,18.07,0
223.03,3.81,0
286.78,21.14,0
54.27,20.92,0
260.55,0.7,0
91.7,19.82,0
200.1,3.09,0
200.77,8.04,0
153.48,17.84,0
18.93,3.86,0
360.73,19.63,0
77.36,19.97,0
41.29,12.18,0
8.33,0.15,0
178.76,6.89,0
226.37,14.81,0
3.35,23.55,0
143.53,15.16,0
51.36,6.24,0
207.22,15.22,0
38.32,12.96,0
234.84,18.72,0
97.79,2.57,0
552.07,18.26,0
29.59,12.99,0
83.43,23.11,0
24.09,8.2,0
517.24,15.18,0
419.67,22.37,0
59.67,2.46,0
215.75,22.49,0
339.9,16.51,0
162.03,1.63,0
150.86,7.22,0
55.38,17.0,0
19.55,1.62,0
455.02,13.97,0
461.35,8.3,0
200.53,14.9,0
82.81,1.1,0
85.91,20.92,0
258.89,23.36,0
454.82,23.25,0
436.23,17.99,0
302.71,3.12,0
205.46,18.2,0
17.58,0.59,0
35.26,0.53,0
457.65,7.77,0
186.5,11.73,0
1.85,18.49,0
21.4,16.4,0
217.83,10.7,0
1.01,6.57,0
35.06,23.93,0
159.14,10.23,0
235.46,10.83,0
211.09,3.93,0
50.79,19.08,0
249.08,16.65,0
54.16,5.3,0
78.73,1.98,0
274.47,16.33,0
209.75,15.71,0
378.39,6.56,0
214.36,22.82,0
168.01,3.63,0
19.67,10.38,0
91.68,22.65,0
61.63,10.07,0
55.94,15.32,0
722.46,9.54,0
99.88,6.58,0
445.21,23.62,0
199.47,9.82,0
316.77,21.46,0
139.69,5.52,0
172.03,5.11,0
135.66,0.75,0
43.44,15.64,0
256.35,8.84,0
65.92,20.74,0
4.92,11.36,0
207.39,23.24,0
38.99,4.45,0
564.22,20.85,0
615.51,18.64,0
492.7,18.5,0
92.46,20.27,0
3.12,18.26,0
527.1,15.03,0
111.79,3.15,0
680.17,0.78,1
662.75,22.1,0
383.48,14.8,0
